playerId,Name,seasonId,teamAbbrev,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,games,ppg,gpg,apg,spg,positionCode,team_points,team_wins,std_ppg
8481481,Blake Lizotte,20192020,LAK,6,17,23,-4,2,3,0,0,87,1326,2,3,20,13.959999999999999,65,0.35384615384615387,0.09230769230769231,0.26153846153846155,1.3384615384615384,C,64,29,-0.19479749402263916
8480028,Morgan Frost,20212022,PHI,5,11,16,-11,1,2,0,0,85,1073,0,0,14,13.922424242424242,55,0.2909090909090909,0.09090909090909091,0.2,1.5454545454545454,C,61,25,-0.19492860223494712
8478439,Travis Konecny,20162017,PHI,11,17,28,-2,3,4,0,0,133,1330,0,0,49,14.09047619047619,70,0.4,0.15714285714285714,0.24285714285714285,1.9,RW,88,39,-0.2042809346535765
8480113,Alex Iafallo,20172018,LAK,9,16,25,10,0,2,1,0,129,1487,0,0,12,15.103555555555555,75,0.3333333333333333,0.12,0.21333333333333335,1.72,LW,98,45,-0.2130229411974786
8484145,Zach Benson,20232024,BUF,4,10,14,-4,0,0,1,0,57,683,0,0,20,14.97972972972973,37,0.3783783783783784,0.10810810810810811,0.2702702702702703,1.5405405405405406,LW,48,22,-0.22058168644479273
8481554,Kaapo Kakko,20192020,NYR,10,13,23,-26,2,13,3,1,109,1179,0,0,14,14.27878787878788,66,0.3484848484848485,0.15151515151515152,0.19696969696969696,1.6515151515151516,RW,79,37,-0.22726671701288362
8482159,Tyson Foerster,20232024,PHI,7,11,18,2,3,6,0,0,101,1054,0,0,22,17.037152777777777,48,0.375,0.14583333333333334,0.22916666666666666,2.1041666666666665,RW,56,25,-0.2407049277399769
8481559,Jack Hughes,20192020,NJD,7,14,21,-26,4,9,2,1,123,1104,0,0,10,15.865300546448086,61,0.3442622950819672,0.11475409836065574,0.22950819672131148,2.0163934426229506,C,68,28,-0.2528394122404106
8477476,Artturi Lehkonen,20162017,MTL,18,10,28,-1,2,4,3,0,158,1488,1,1,8,13.85890410958904,73,0.3835616438356164,0.2465753424657534,0.136986301369863,2.164383561643836,LW,103,47,-0.27981008148508596
8476442,Matt Nieto,20132014,SJS,10,14,24,-4,1,4,2,0,124,1377,0,0,16,14.076767676767677,66,0.36363636363636365,0.15151515151515152,0.21212121212121213,1.878787878787879,LW,111,51,-0.30574395846257035
